,Title,director,actors,Genre,id,Image_url,Average_vote,Runtime,imdb_link,combo
3204,mississippi grind,"Anna Boden, Ryan Fleck",Ryan Reynolds Ben Mendelsohn Sienna Miller,Drama Thriller,309242,https://image.tmdb.org/t/p/w500//vS3Bc6BiuZtAbSQpKhhRzPa7c2d.jpg,6.045,108min,https://www.imdb.com/title/tt2349144,"drama thriller anna boden, ryan fleck ryan reynolds ben mendelsohn sienna miller"
3205,the walk,Robert Zemeckis,Joseph Gordon-Levitt Ben Kingsley Charlotte Le Bon,Adventure Drama Thriller,285783,https://image.tmdb.org/t/p/w500//tiESRqurrZwAC0hpERogOsBhjeg.jpg,6.967,123min,https://www.imdb.com/title/tt3488710,adventure drama thriller robert zemeckis joseph gordon-levitt ben kingsley charlotte le bon
3206,the martian,Ridley Scott,Matt Damon Jessica Chastain Kristen Wiig,Drama Adventure Science,286217,https://image.tmdb.org/t/p/w500//5BHuvQ6p9kfc091Z8RiFNhCwL4b.jpg,7.67,141min,https://www.imdb.com/title/tt3659388,drama adventure science fiction ridley scott matt damon jessica chastain kristen wiig
3207,steve jobs,Danny Boyle,Michael Fassbender Kate Winslet Seth Rogen,Drama History,321697,https://image.tmdb.org/t/p/w500//92vhEJ6xWoDJ8UHECAJaRofaSCZ.jpg,6.765,122min,https://www.imdb.com/title/tt2080374,drama history danny boyle michael fassbender kate winslet seth rogen
3208,pan,Joe Wright,Hugh Jackman Garrett Hedlund Rooney Mara,Animation Family Adventure,10693,https://image.tmdb.org/t/p/w500//fJJOs1iyrhKfZceANxoPxPwNGF1.jpg,7.2,77min,https://www.imdb.com/title/tt0046183,animation family adventure fantasy joe wright hugh jackman garrett hedlund rooney mara
3209,knock knock,Eli Roth,Keanu Reeves Ana de Armas Lorenza Izzo,Drama Thriller Horror,263472,https://image.tmdb.org/t/p/w500//cUC4rUb1Cs2KMaZ6RD4uYUEEwls.jpg,5.301,99min,https://www.imdb.com/title/tt3605418,drama thriller horror eli roth keanu reef ana de armas lorenza izzo
3210,beasts of no nation,Cary Joji Fukunaga,Idris Elba Kurt Egyiawan Jude Akuwudike,Drama War,283587,https://image.tmdb.org/t/p/w500//1D4vcJmJc58WXarpRtwgd2do9Rg.jpg,7.574,137min,https://www.imdb.com/title/tt1365050,drama war cary joji fukunaga idris elba kurt egyiawan jude akuwudike
3211,bridge of spies,Steven Spielberg,Tom Hanks Mark Rylance Amy Ryan,Thriller Drama,296098,https://image.tmdb.org/t/p/w500//bORlvwnVJE1Z6yIg96qnLLY3LJQ.jpg,7.223,141min,https://www.imdb.com/title/tt3682448,thriller drama steven spielberg tom hank mark rylance amy ryan
3212,crimson peak,Guillermo del Toro,Mia Wasikowska Jessica Chastain Tom Hiddleston,Horror Thriller Romance,201085,https://image.tmdb.org/t/p/w500//lChJkVniEgCLmVWUaS7QdorhX7U.jpg,6.638,119min,https://www.imdb.com/title/tt2554274,horror thriller romance fantasy mystery guillermo del toro mia wasikowska jessica chastain tom hiddleston
3213,goosebumps,Rob Letterman,Jack Black Dylan Minnette Odeya Rush,Adventure Horror Comedy,257445,https://image.tmdb.org/t/p/w500//aeZT9pqEgrmXOGdESFkAuVjX6kw.jpg,6.306,103min,https://www.imdb.com/title/tt1051904,adventure horror comedy rob letterman jack black dylan minnette odeya rush
3214,room,Lenny Abrahamson,Brie Larson Jacob Tremblay Joan Allen,Horror Comedy Thriller,855433,https://image.tmdb.org/t/p/w500//bsT3usCK8nTFa6MMiysx2A6gTZX.jpg,5.731,0min,https://www.imdb.com/title/tt15484476,horror comedy thriller lenny abrahamson brie larson jacob tremblay joan allen
3215,woodlawn,Andrew Erwin,Sean Astin Nic Bishop Caleb Castille,Drama,333596,https://image.tmdb.org/t/p/w500//BJ1XNBBEiqaCM4SQhHYTrWqCfn.jpg,7.0,123min,https://www.imdb.com/title/tt4183692,drama andrew erwin sean astin nic bishop caleb castille
3216,truth,James Vanderbilt,Cate Blanchett Robert Redford Topher Grace,Thriller Horror,460019,https://image.tmdb.org/t/p/w500//ei2waWQAG8NP244WShIFgGu9IOu.jpg,5.991,101min,https://www.imdb.com/title/tt6772950,thriller horror james vanderbilt cate blanchett robert redford topher grace
3217,experimenter,Michael Almereyda,Peter Sarsgaard Winona Ryder Jim Gaffigan,Drama History,309299,https://image.tmdb.org/t/p/w500//y0lBJjDGYfAdjxsZYYiuL5m3835.jpg,6.58,97min,https://www.imdb.com/title/tt3726704,drama history michael almereyda peter sarsgaard winona ryder jim gaffigan
3218,rock the kasbah,Barry Levinson,Bill Murray Kate Hudson Zooey Deschanel,Comedy Music War,253414,https://image.tmdb.org/t/p/w500//yzqhwsExzS5AMSQvkjYtryKAwYv.jpg,5.419,100min,https://www.imdb.com/title/tt3164256,comedy music war barry levinson bill murray kate hudson zooey deschanel
3219,paranormal activity: the ghost dimension,Gregory Plotkin,Chris J. Murray Brittany Shaw Dan Gill,Horror Thriller,146301,https://image.tmdb.org/t/p/w500//4R4DWo10V6CGq9wCRYoOubL1w2q.jpg,5.274,88min,https://www.imdb.com/title/tt2473510,horror thriller gregory plotkin chris j. murray brittany shaw dan gill
