,Title,director,actors,Genre,id,Image_url,Average_vote,Runtime,imdb_link,combo
0,11:14,Greg Marcks,Henry Thomas  Blake Heron  Barbara Hershey,Crime  Drama,9282,https://image.tmdb.org/t/p/w500//pR2hj9MvnLeax2efwrEvRkHadgp.jpg,6.807,86min,https://www.imdb.com/title/tt0331811,crime drama greg marcks henry thomas blake heron barbara hershey
1,101 dalmatians ii: patch's london adventure,Jim Kammerud,Barry Bostwick  Jason Alexander  Martin Short,Animation  Family,13654,https://image.tmdb.org/t/p/w500//mcl56J7tDPjzEesgpX4UPgAdbvf.jpg,6.0,74min,https://www.imdb.com/title/tt0324941,animation family jim kammerud barry bostwick jason alexander martin short
2,2 fast 2 furious,John Singleton,Paul Walker  Tyrese Gibson  Eva Mendes,Action  Crime,584,https://image.tmdb.org/t/p/w500//qC167IbZpSrwX7wWgg3BeDQbTDr.jpg,6.449,108min,https://www.imdb.com/title/tt0322259,action crime john singleton paul walker tyrese gibson eva mendes
3,21 grams,Alejandro González Iñárritu,Sean Penn  Naomi Watts  Benicio del Toro,Crime  Drama,470,https://image.tmdb.org/t/p/w500//hdS0to9nUpgK0Zm1bZAF6BWRae7.jpg,7.361,124min,https://www.imdb.com/title/tt0315733,crime drama alejandro gonzález iñárritu sean penn naomi watt benicio del toro
4,44 minutes: the north hollywood shoot-out,Yves Simoneau,Michael Madsen  Ron Livingston,Action,14842,https://image.tmdb.org/t/p/w500//jBb1YSyrEYrHAh1zMJfziApxsXU.jpg,6.6,103min,https://www.imdb.com/title/tt0362389,action yves simoneau michael madsen ron livingston
5,abby singer,Ryan Williams,Clint J. Palmer  Ryan Williams  Wendy Buss,Comedy  Drama,499117,https://image.tmdb.org/t/p/w500//wfWSRcQRmEw3u5myacurSf57M8x.jpg,0.0,79min,https://www.imdb.com/title/tt4587588,comedy drama ryan williams clint j. palmer ryan williams wendy bus
6,afro-punk,James Spooner,Race identity within punk subculture,Documentary,542059,https://image.tmdb.org/t/p/w500//mbdcyRBI7hhm8oU2QCfnpI5FB4M.jpg,0.0,15min,https://www.imdb.com/title/tt5762422,documentary james spooner race identity within punk subculture
7,agent cody banks,Harald Zwart,Frankie Muniz  Hilary Duff,Action  Family,10923,https://image.tmdb.org/t/p/w500//fhK0mqqirPsckxkNisvi32A4lf6.jpg,5.424,102min,https://www.imdb.com/title/tt0313911,action family harald zwart frankie muniz hilary duff
8,aileen: life and death of a serial killer,"Nick Broomfield, Joan Churchill",The life of Aileen Wuornos,Documentary,37088,https://image.tmdb.org/t/p/w500//heyPFrL3IVf7dXJDph5B3lidNuB.jpg,6.9,89min,https://www.imdb.com/title/tt0364930,"documentary nick broomfield, joan churchill the life of aileen wuornos"
9,alex & emma,Rob Reiner,Kate Hudson  Luke Wilson  Sophie Marceau,Romantic comedy,17813,https://image.tmdb.org/t/p/w500//AaDCSJipXeswMpM0TfOAbbYaBPb.jpg,5.234,96min,https://www.imdb.com/title/tt0318283,romantic comedy rob reiner kate hudson luke wilson sophie marceau
10,alien hunter,Ron Krauss,James Spader,Action  Science,22076,https://image.tmdb.org/t/p/w500//aNBMcjrncjGd9Yn6TJW3SkQJhMJ.jpg,5.225,100min,https://www.imdb.com/title/tt0327409,action science fiction ron krauss james spader
11,all the real girls,David Gordon Green,Paul Schneider  Zooey Deschanel  Shea Whigham,Drama  Romance,13132,https://image.tmdb.org/t/p/w500//sQ6dMkwPIFucYSmFQcr38WBYzs.jpg,6.1,108min,https://www.imdb.com/title/tt0299458,drama romance david gordon green paul schneider zooey deschanel shea whigham
12,amandla!: a revolution in four-part harmony,Lee Hirsch,The use of music against South Africa under apartheid,Documentary,22707,https://image.tmdb.org/t/p/w500//izru4geFbkBk1O1I5lHQxlfhuJY.jpg,7.2,103min,https://www.imdb.com/title/tt0303297,documentary lee hirsch the use of music against south africa under apartheid
13,american splendor,"Robert Pulcini, Shari Springer Berman",Paul Giamatti  Hope Davis,Comedy-Drama,2771,https://image.tmdb.org/t/p/w500//3Cuher0ibSga1as9OtZe50UcXxj.jpg,7.221,101min,https://www.imdb.com/title/tt0305206,"comedy-drama robert pulcini, shari springer berman paul giamatti hope davis"
14,american wedding,Jesse Dylan,Jason Biggs  Seann William Scott  Alyson Hannigan,Comedy,8273,https://image.tmdb.org/t/p/w500//pCO3lJv2PzPkJty29APxCVSjyoE.jpg,6.193,103min,https://www.imdb.com/title/tt0328828,comedy jesse dylan jason biggs seann william scott alyson hannigan
15,anger management,Peter Segal,Adam Sandler  Jack Nicholson  Marisa Tomei,Comedy,9506,https://image.tmdb.org/t/p/w500//ezitJY9RTk3ReXc1nWhXjmU9cz0.jpg,6.126,106min,https://www.imdb.com/title/tt0305224,comedy peter segal adam sandler jack nicholson marisa tomei
16,anne b. real,Lisa France,David Zayas  Carlos Leon,Drama,31284,https://image.tmdb.org/t/p/w500//s3uzBvmAvuA8SeeiUOvcEM89WFS.jpg,3.9,91min,https://www.imdb.com/title/tt0315775,drama lisa france david zayas carlos leon
17,anything else,Woody Allen,Jason Biggs  Christina Ricci  Stockard Channing,Romantic Comedy,10739,https://image.tmdb.org/t/p/w500//bvyoWDh60R31ZE5L8TjZ8Qpv5xM.jpg,6.21,108min,https://www.imdb.com/title/tt0313792,romantic comedy woody allen jason biggs christina ricci stockard channing
18,baadasssss!,Mario Van Peebles,Mario Van Peebles  Adam West,Biography  Drama,28219,https://image.tmdb.org/t/p/w500//uhdsg8Xa3VhsveTmrgpBwOnmPFx.jpg,7.097,108min,https://www.imdb.com/title/tt0367790,biography drama mario van peebles mario van peebles adam west
19,bad boys ii,Michael Bay,Martin Lawrence  Will Smith,Action  Comedy,8961,https://image.tmdb.org/t/p/w500//yCvB5fG5aEPqa1St7ihY6KEAsHD.jpg,6.582,147min,https://www.imdb.com/title/tt0172156,action comedy michael bay martin lawrence will smith
20,bad santa,Terry Zwigoff,Billy Bob Thornton  Bernie Mac  Lauren Graham,Comedy  Crime,10147,https://image.tmdb.org/t/p/w500//rfClLIyeHqpMofmrPY8DaLe4z9x.jpg,6.535,92min,https://www.imdb.com/title/tt0307987,comedy crime terry zwigoff billy bob thornton bernie mac lauren graham
21,basic,John McTiernan,John Travolta  Connie Nielsen  Samuel L. Jackson,Thriller,402,https://image.tmdb.org/t/p/w500//76Ts0yoHk8kVQj9MMnoMixhRWoh.jpg,6.881,127min,https://www.imdb.com/title/tt0103772,thriller john mctiernan john travolta connie nielsen samuel l. jackson
22,the battle of shaker heights,"Efram Potelle, Kyle Rankin",Shia La Beouf  Elden Henson  Amy Smart,Comedy  Drama,21413,https://image.tmdb.org/t/p/w500//ba16bmfApo4psNcMHMQfFUghQ6y.jpg,5.6,79min,https://www.imdb.com/title/tt0357470,"comedy drama efram potelle, kyle rankin shia la beouf elden henson amy smart"
23,bells of innocence,Alin Bijan,Mike Norris  Marshall R. Teague  Chuck Norris,Horror,36859,https://image.tmdb.org/t/p/w500//k1AO2v7twn9w0TtFFnbBP5MJILs.jpg,2.0,110min,https://www.imdb.com/title/tt0312450,horror alin bijan mike norris marshall r. teague chuck norris
24,the best two years,Scott S. Anderson,K.C. Clyde  Kirby Heyborne  David Nibley,Comedy  Drama,16668,https://image.tmdb.org/t/p/w500//regPVSdn7PUJmY7vWc6n4Qjsb4q.jpg,7.1,112min,https://www.imdb.com/title/tt0377038,comedy drama scott s. anderson k.c. clyde kirby heyborne david nibley
25,beyond borders,Martin Campbell,Angelina Jolie  Clive Owen,Romance  War,9839,https://image.tmdb.org/t/p/w500//j7Upm2AtGuTzCs2Asq0GyBIMAxX.jpg,6.5,127min,https://www.imdb.com/title/tt0294357,romance war martin campbell angelina jolie clive owen
26,big fish,Tim Burton,Ewan McGregor  Albert Finney  Billy Crudup,Comedy  Drama,587,https://image.tmdb.org/t/p/w500//2CnZsnezR5FLcUSYwp1xKEEoOra.jpg,7.768,125min,https://www.imdb.com/title/tt0319061,comedy drama fantasy tim burton ewan mcgregor albert finney billy crudup
27,biker boyz,Reggie Rock Bythewood,Laurence Fishburne  Djimon Hounsou  Derek Luke,Action,12253,https://image.tmdb.org/t/p/w500//frb2Tk7DTBshZ61Or0D3M1kslWL.jpg,6.143,110min,https://www.imdb.com/title/tt0326769,action reggie rock bythewood laurence fishburne djimon hounsou derek luke
28,black cadillac,John Murlowski,Randy Quaid  Shane Johnson  Josh Hammond,Horror,69217,https://image.tmdb.org/t/p/w500//2zFoFrdpT8X6R3j2Kw2bK4t46gS.jpg,5.774,93min,https://www.imdb.com/title/tt0313285,horror john murlowski randy quaid shane johnson josh hammond
29,blind horizon,Michael Haussman,Val Kilmer  Neve Campbell  Sam Shepard,Drama,24619,https://image.tmdb.org/t/p/w500//tPdQbKcjrLnYfqvRBvGWoNqAsjR.jpg,5.913,99min,https://www.imdb.com/title/tt0337881,drama michael haussman val kilmer neve campbell sam shepard
30,blizzard,LeVar Burton,Brenda Blethyn  Christopher Plummer  Kevin Pollak,Family,22081,https://image.tmdb.org/t/p/w500//uLGrJDBi67Bb4e3mMGoH3duefhw.jpg,6.1,93min,https://www.imdb.com/title/tt0309372,family levar burton brenda blethyn christopher plummer kevin pollak
31,boat trip,Mort Nathan,Cuba Gooding  Jr.  Horatio Sanz,Comedy,9557,https://image.tmdb.org/t/p/w500//xHFJt9nEfVIUItBfKZr7qhbgveL.jpg,5.256,94min,https://www.imdb.com/title/tt0285462,comedy mort nathan cuba gooding jr. horatio sanz
32,bringing down the house,Adam Shankman,Steve Martin  Queen Latifah  Eugene Levy,Crime  Comedy,10678,https://image.tmdb.org/t/p/w500//qt54pA2IkNAgKE9pBlgtJvDtR2S.jpg,5.964,105min,https://www.imdb.com/title/tt0305669,crime comedy adam shankman steve martin queen latifah eugene levy
33,brother bear,"Aaron Blaise, Bob Walker",Joaquin Phoenix  Jeremy Suarez  Rick Moranis,Animation  Family,10009,https://image.tmdb.org/t/p/w500//9VvLgj28J5m04y5gO0mt5np4yF8.jpg,7.241,85min,https://www.imdb.com/title/tt0328880,"animation family aaron blaise, bob walker joaquin phoenix jeremy suarez rick moranis"
34,the brown bunny,Vincent Gallo,Vincent Gallo  Chloë Sevigny,Drama,12703,https://image.tmdb.org/t/p/w500//bGzU4TgdqmMjIfPIgf2MjDW6H7c.jpg,5.416,93min,https://www.imdb.com/title/tt0330099,drama vincent gallo vincent gallo chloë sevigny
35,bruce almighty,Tom Shadyac,Jim Carrey  Morgan Freeman  Jennifer Aniston,Comedy  Fantasy,310,https://image.tmdb.org/t/p/w500//f0QqG14SZYYZcV4VWykVc5w13dz.jpg,6.693,101min,https://www.imdb.com/title/tt0315327,comedy fantasy tom shadyac jim carrey morgan freeman jennifer aniston
36,bulletproof monk,Paul Hunter,Chow Yun-fat  Seann William Scott  Jaime King,Action  Comedy,11817,https://image.tmdb.org/t/p/w500//kHWv16c4uDmiEujICSBdQ52TH55.jpg,5.474,104min,https://www.imdb.com/title/tt0245803,action comedy paul hunter chow yun-fat seann william scott jaime king
37,camp,Todd Graff,Daniel Letterle  Joanna Chilcoat  Robin de Jesus,Comedy  Musical,8274,https://image.tmdb.org/t/p/w500//zurVOCpOLwLTBknYlgcXHWE0xvu.jpg,8.0,72min,https://www.imdb.com/title/tt1731767,comedy musical todd graff daniel letterle joanna chilcoat robin de jesus
38,carolina,Marleen Gorris,Julia Stiles  Shirley MacLaine  Alessandro Nivola,Romantic Comedy,4592,https://image.tmdb.org/t/p/w500//wKVCk0U3KAcCthWQQgDxwyJAJJc.jpg,5.7,97min,https://www.imdb.com/title/tt0289889,romantic comedy marleen gorris julia stile shirley maclaine alessandro nivola
39,casa de los babys,John Sayles,Marcia Gay Harden  Maggie Gyllenhaal  Daryl Hannah,Drama,38244,https://image.tmdb.org/t/p/w500//sFSCFlfY9i1eaBLcJdaNvscJK31.jpg,5.7,96min,https://www.imdb.com/title/tt0303830,drama john sayles marcia gay harden maggie gyllenhaal daryl hannah
40,the cat in the hat,Bo Welch,Mike Myers  Alec Baldwin  Dakota Fanning,Family  Comedy,10588,https://image.tmdb.org/t/p/w500//uYYLz67e5xEQMsY858VSSCDsLU6.jpg,5.322,82min,https://www.imdb.com/title/tt0312528,family comedy bo welch mike myers alec baldwin dakota fanning
41,charlie's angels: full throttle,McG,Cameron Diaz  Drew Barrymore  Lucy Liu,Action  Comedy,9471,https://image.tmdb.org/t/p/w500//n4cdJ0Wqxb7C0HmZbcaC4eYnkIf.jpg,5.454,106min,https://www.imdb.com/title/tt0305357,action comedy mcg cameron diaz drew barrymore lucy liu
42,chasing papi,Linda Mendoza,Roselyn Sánchez  Sofía Vergara  Jaci Velasquez,Comedy,24621,https://image.tmdb.org/t/p/w500//mdn6NwGZChgaSuWHQzYKYO1KBL6.jpg,7.212,80min,https://www.imdb.com/title/tt0323572,comedy linda mendoza roselyn sánchez sofía vergara jaci velasquez
43,cheaper by the dozen,Shawn Levy,Steve Martin  Bonnie Hunt  Hilary Duff,Comedy  Family,691683,https://image.tmdb.org/t/p/w500//qNRsouZh5zmhaE3n4QpLDXzy1gQ.jpg,6.426,107min,https://www.imdb.com/title/tt6705162,comedy family shawn levy steve martin bonnie hunt hilary duff
44,christmas child,Bill Ewing,William R. Moses  Steven Curtis Chapman  Megan Follows,Drama,71312,https://image.tmdb.org/t/p/w500//sZw6yJhGFGavIVdPwlmKDIGDzhZ.jpg,7.3,96min,https://www.imdb.com/title/tt0346750,drama bill ewing william r. moses steven curtis chapman megan follows
45,coffee and cigarettes,Jim Jarmusch,Roberto Benigni  Steven Wright  Joie Lee,Comedy  Drama,883,https://image.tmdb.org/t/p/w500//pfG02QCsutx3PIxFS8UY4iM9AsS.jpg,7.021,96min,https://www.imdb.com/title/tt0379217,comedy drama jim jarmusch roberto benigni steven wright joie lee
46,cold creek manor,Mike Figgis,Dennis Quaid  Sharon Stone  Stephen Dorff,Drama  Thriller,12767,https://image.tmdb.org/t/p/w500//2AKitfwCoCmHU4PTtC5oF6LImlG.jpg,5.358,118min,https://www.imdb.com/title/tt0331468,drama thriller mike figgis dennis quaid sharon stone stephen dorff
47,cold mountain,Anthony Minghella,Jude Law  Nicole Kidman  Renée Zellweger,Romance  War,2289,https://image.tmdb.org/t/p/w500//32MsALfK6shuSopCrFjSNoxDc5p.jpg,6.9,154min,https://www.imdb.com/title/tt0159365,romance war anthony minghella jude law nicole kidman renée zellweger
48,comandante,Oliver Stone,The politics of Fidel Castro,Documentary,25783,https://image.tmdb.org/t/p/w500//gJjwog4k9ricwM9oi0rc0CsOrXr.jpg,6.4,99min,https://www.imdb.com/title/tt0342213,documentary oliver stone the politics of fidel castro
49,the company,Robert Altman,Neve Campbell  Malcolm McDowell  James Franco,Drama  Musical,52036,https://image.tmdb.org/t/p/w500//ivmlrYB3adlShuvwXhRETsVBB0z.jpg,5.318,112min,https://www.imdb.com/title/tt0335013,drama musical robert altman neve campbell malcolm mcdowell james franco
50,confidence,James Foley,Edward Burns  Rachel Weisz  Dustin Hoffman,Crime,10743,https://image.tmdb.org/t/p/w500//yJzmAtY9DmhhjJwFnW0Zjlvz6yg.jpg,6.279,97min,https://www.imdb.com/title/tt0310910,crime james foley edward burn rachel weisz dustin hoffman
51,the cooler,Wayne Kramer,William H. Macy  Maria Bello  Alec Baldwin,Drama  Romance,10744,https://image.tmdb.org/t/p/w500//lDqBhWhejdt9Umt5tYjqGXYF73O.jpg,6.746,101min,https://www.imdb.com/title/tt0318374,drama romance wayne kramer william h. macy maria bello alec baldwin
52,the core,Jon Amiel,Aaron Eckhart  Hilary Swank  Delroy Lindo,Action  Science,9341,https://image.tmdb.org/t/p/w500//jaG2vih2z4V5fP9pnYSIL65lr8d.jpg,5.731,136min,https://www.imdb.com/title/tt0298814,action science fiction jon amiel aaron eckhart hilary swank delroy lindo
53,cradle 2 the grave,Andrzej Bartkowiak,Jet Li  DMX  Kelly Hu,Action,10623,https://image.tmdb.org/t/p/w500//8iXpVITXenqPG8gQ0lCFpUMtZIx.jpg,6.056,101min,https://www.imdb.com/title/tt0306685,action andrzej bartkowiak jet li dmx kelly hu
54,crime spree,Brad Mirman,Gérard Depardieu  Harvey Keitel  Johnny Hallyday,Comedy  Crime,6277,https://image.tmdb.org/t/p/w500//3vpnPPfmrdsyYYSSn1h7k1NrEYF.jpg,5.7,98min,https://www.imdb.com/title/tt0310924,comedy crime brad mirman gérard depardieu harvey keitel johnny hallyday
55,daddy day care,Steve Carr,Eddie Murphy  Jeff Garlin  Steve Zahn,Comedy  Family,10708,https://image.tmdb.org/t/p/w500//y3aq5fDNtSHw79wugWtZDhejToj.jpg,5.881,92min,https://www.imdb.com/title/tt0317303,comedy family steve carr eddie murphy jeff garlin steve zahn
56,daredevil,Mark Steven Johnson,Ben Affleck  Jennifer Garner  Michael Clarke Duncan,Superhero,9480,https://image.tmdb.org/t/p/w500//oCDBwSkntYamuw8VJIxMRCtDBmi.jpg,5.235,103min,https://www.imdb.com/title/tt0287978,superhero mark steven johnson ben affleck jennifer garner michael clarke duncan
57,dark blue,Ron Shelton,Kurt Russell  Scott Speedman  Michael Michele,Crime  Drama,4911,https://image.tmdb.org/t/p/w500//9RTiJx3oD1s3RAMtjSo7ThZmcxw.jpg,6.217,118min,https://www.imdb.com/title/tt0279331,crime drama ron shelton kurt russell scott speedman michael michele
58,darkness falls,Jonathan Liebesman,Chaney Kley  Emma Caulfield  Lee Cormie,Horror,10727,https://image.tmdb.org/t/p/w500//qoceKsM15yL5Tmyuhkdl7vM5Vi4.jpg,5.54,86min,https://www.imdb.com/title/tt0282209,horror jonathan liebesman chaney kley emma caulfield lee cormie
59,deliver us from eva,Gary Hardwick,LL Cool J  Gabrielle Union,Romantic Comedy,26454,https://image.tmdb.org/t/p/w500//mkCC7wOJ0C1gfEt44ca25x8xTdL.jpg,6.279,105min,https://www.imdb.com/title/tt0301181,romantic comedy gary hardwick ll cool j gabrielle union
60,devil's pond,Joel Viertel,Tara Reid  Kip Pardue,Drama,30669,https://image.tmdb.org/t/p/w500//oyc5fDw1tBaE0d258sBNc9674WM.jpg,5.4,92min,https://www.imdb.com/title/tt0329162,drama joel viertel tara reid kip pardue
61,dickie roberts: former child star,Sam Weisman,David Spade  Mary McCormack,Comedy,13778,https://image.tmdb.org/t/p/w500//6dgCPSVEEMU2BLvxOzBAvkQjIeL.jpg,5.1,98min,https://www.imdb.com/title/tt0325258,comedy sam weisman david spade mary mccormack
62,le divorce,James Ivory,Kate Hudson  Naomi Watts,Drama  Romance,9499,https://image.tmdb.org/t/p/w500//ucBJrWKCJ1naTylSFN8jpaEqwwe.jpg,5.0,117min,https://www.imdb.com/title/tt0306734,drama romance james ivory kate hudson naomi watt
63,down with love,Peyton Reed,Ewan McGregor  Renée Zellweger  David Hyde Pierce,Romantic Comedy,10720,https://image.tmdb.org/t/p/w500//8hpGe0U8oK05dEjVjACjw6TgbWm.jpg,6.11,101min,https://www.imdb.com/title/tt0309530,romantic comedy peyton reed ewan mcgregor renée zellweger david hyde pierce
64,dreamcatcher,Lawrence Kasdan,Morgan Freeman  Thomas Jane  Jason Lee,Horror  Science,793002,https://image.tmdb.org/t/p/w500//3CF743g2BpC8r3mCVV9gSX2yQBj.jpg,6.093,90min,https://www.imdb.com/title/tt9382172,horror science fiction lawrence kasdan morgan freeman thomas jane jason lee
65,dumb and dumberer: when harry met lloyd,Troy Miller,Derek Richardson  Eric Christian Olsen  Eugene Levy,Comedy,10152,https://image.tmdb.org/t/p/w500//cSe9Kg3OzQskQbBtjaUPAaqca5n.jpg,4.125,85min,https://www.imdb.com/title/tt0329028,comedy troy miller derek richardson eric christian olsen eugene levy
66,duplex,Danny DeVito,Ben Stiller  Drew Barrymore  Eileen Essell,Comedy,7288,https://image.tmdb.org/t/p/w500//qM4pY3ODOgV0HygDkYh6Y9oyxhZ.jpg,6.098,89min,https://www.imdb.com/title/tt0266489,comedy danny devito ben stiller drew barrymore eileen essell
67,dysfunktional family,George Gallo,Eddie Griffin,Performance Film,17995,https://image.tmdb.org/t/p/w500//jYfGKG94Mfs8HMjqXsn9aIVqGTK.jpg,7.1,89min,https://www.imdb.com/title/tt0337996,performance film george gallo eddie griffin
68,elephant,Gus Van Sant,Alex Frost  Eric Deulen  John Robinson,Crime  Drama,1807,https://image.tmdb.org/t/p/w500//1a4VU9z2hxEvugHMK7VsobB9xTX.jpg,7.095,81min,https://www.imdb.com/title/tt0363589,crime drama gu van sant alex frost eric deulen john robinson
69,elf,Jon Favreau,Will Ferrell  James Caan  Zooey Deschanel,Comedy  Family,10719,https://image.tmdb.org/t/p/w500//zDHFQmaxlTIJGQDfTrLTL9RK2tQ.jpg,6.639,97min,https://www.imdb.com/title/tt0319343,comedy family jon favreau will ferrell james caan zooey deschanel
70,evil alien conquerors,Chris Matheson,Diedrich Bader  Chris Parnell,Science Fiction ,6884,https://image.tmdb.org/t/p/w500//69WLpkdLhsTtXtlc8kfkE7M56DC.jpg,5.6,89min,https://www.imdb.com/title/tt0305556,science fiction comedy chris matheson diedrich bader chris parnell
71,faster,Mark Neale,The motorcycle racing world championship  MotoGP,Documentary,41283,https://image.tmdb.org/t/p/w500//AsUeaXrhw4oscCSjUZ6heh1pVvd.jpg,6.313,98min,https://www.imdb.com/title/tt1433108,documentary mark neale the motorcycle racing world championship motogp
72,festival express,Bob Smeaton,The Trans Continental Pop Festival,Rockumentary,14770,https://image.tmdb.org/t/p/w500//5ehULJQMNCdASy2i7jaTbcIvQKA.jpg,7.0,90min,https://www.imdb.com/title/tt0372279,rockumentary bob smeaton the trans continental pop festival
73,the fighting temptations,Jonathan Lynn,Cuba Gooding  Jr.  Beyoncé Knowles,Musical  Comedy,22309,https://image.tmdb.org/t/p/w500//1Dd8TBA6G0n1x2N8KpJvIefy2sB.jpg,5.7,122min,https://www.imdb.com/title/tt0191133,musical comedy jonathan lynn cuba gooding jr. beyoncé knowles
74,final destination 2,David R. Ellis,Ali Larter  A. J. Cook  Michael Landes,Horror,9358,https://image.tmdb.org/t/p/w500//sDsdhVmGzh4L56QvtLLinvXjDs3.jpg,6.196,90min,https://www.imdb.com/title/tt0309593,horror david r. elli ali larter a. j. cook michael landes
75,finding nemo,"Andrew Stanton, Lee Unkrich",Albert Brooks  Ellen DeGeneres  Alexander Gould,Animation  Family,12,https://image.tmdb.org/t/p/w500//eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,7.824,100min,https://www.imdb.com/title/tt0266543,"animation family andrew stanton, lee unkrich albert brook ellen degeneres alexander gould"
76,flywheel,Alex Kendrick,Lisa Arnold  Alex Kendrick  Tracy Goode,Drama,17345,https://image.tmdb.org/t/p/w500//cpIsV0sRJZGqc1qDlq3sxsvsBIU.jpg,7.0,120min,https://www.imdb.com/title/tt0425027,drama alex kendrick lisa arnold alex kendrick tracy goode
77,the fog of war,Errol Morris,The life and times of Robert McNamara,Documentary,12698,https://image.tmdb.org/t/p/w500//m1dEnkrdJGBSLeAyJepuGrU9sNI.jpg,7.835,107min,https://www.imdb.com/title/tt0317910,documentary errol morris the life and time of robert mcnamara
78,freaky friday,Mark Waters,Lindsay Lohan  Jamie Lee Curtis  Chad Michael Murray,Family  Comedy,10330,https://image.tmdb.org/t/p/w500//ipKcZ4Up7dp18XpsfYUc9NKZy3g.jpg,6.402,97min,https://www.imdb.com/title/tt0322330,family comedy mark water lindsay lohan jamie lee curtis chad michael murray
79,freddy vs. jason,Ronny Yu,Robert Englund  Ken Kirzinger  Monica Keena,Horror,6466,https://image.tmdb.org/t/p/w500//vu7JlJMfh0qnBSbaK4c0HmPI4Gq.jpg,6.009,97min,https://www.imdb.com/title/tt0329101,horror ronny yu robert englund ken kirzinger monica keena
80,from justin to kelly,Robert Iscove,Justin Guarini  Kelly Clarkson,Comedy  Musical,31246,https://image.tmdb.org/t/p/w500//bLLlgQ6nZPGxvAjp0qjTX1wD2hl.jpg,3.6,90min,https://www.imdb.com/title/tt0339034,comedy musical robert iscove justin guarini kelly clarkson
81,gang of roses,Jean-Claude La Marre,Lil' Kim  LisaRaye McCoy  Marie Matiko,Drama  Western,89828,https://image.tmdb.org/t/p/w500//g6KGKjw74YSfdmYpXI5IEbVr0OJ.jpg,9.0,84min,https://www.imdb.com/title/tt2051886,drama western jean-claude la marre lil' kim lisaraye mccoy marie matiko
82,georges bataille's story of the eye,Andrew Repasky McElhinney,Melissa Elizabeth Forgione  Querelle Haynes  Sean Timothy Sexton,Drama  Experimental,129308,https://image.tmdb.org/t/p/w500//jU69pfQF5FtUOpOvK6FyqQc5WFW.jpg,3.2,81min,https://www.imdb.com/title/tt0379797,drama experimental andrew repasky mcelhinney melissa elizabeth forgione querelle haynes sean timothy sexton
83,gigli,Martin Brest,Ben Affleck  Jennifer Lopez  Al Pacino,Crime  Comedy,8046,https://image.tmdb.org/t/p/w500//nKJaZS5bh0ZZotE2hMVC1uuxqhw.jpg,4.043,121min,https://www.imdb.com/title/tt0299930,crime comedy martin brest ben affleck jennifer lopez al pacino
84,gods and generals,Ronald F. Maxwell,Jeff Daniels  Stephen Lang  Robert Duvall,Drama  War,16072,https://image.tmdb.org/t/p/w500//sMzhx48PQCv7RTeyYlCDQgjHVlf.jpg,6.271,219min,https://www.imdb.com/title/tt0279111,drama war ronald f. maxwell jeff daniel stephen lang robert duvall
85,good boy!,John Hoffman,Liam Aiken  Molly Shannon  Kevin Nealon,Family  Comedy,21765,https://image.tmdb.org/t/p/w500//kZDXSPfeKNtai6l8yE4J5LwVQMY.jpg,5.647,87min,https://www.imdb.com/title/tt0326900,family comedy john hoffman liam aiken molly shannon kevin nealon
86,gothika,Mathieu Kassovitz,Halle Berry  Robert Downey  Jr.,Horror,4970,https://image.tmdb.org/t/p/w500//frSGNQcWx1ek8dCduFYCux1ho7n.jpg,6.058,98min,https://www.imdb.com/title/tt0348836,horror mathieu kassovitz halle berry robert downey jr.
87,grand theft parsons,David Caffrey,Johnny Knoxville  Michael Shannon  Christina Applegate,Comedy  Drama,16433,https://image.tmdb.org/t/p/w500//5sWWj5tlTDyAi2yiEjQZUmJCoKr.jpg,5.7,88min,https://www.imdb.com/title/tt0338075,comedy drama david caffrey johnny knoxville michael shannon christina applegate
88,grind,Casey La Scala,Mike Vogel  Adam Brody  Vince Vieluf,Comedy  Sports,20210,https://image.tmdb.org/t/p/w500//3ijvfbWQYLaFQ2PaX6hywnMW3Hv.jpg,6.2,105min,https://www.imdb.com/title/tt0338077,comedy sport casey la scala mike vogel adam brody vince vieluf
89,a guy thing,Chris Koch,Jason Lee  Julia Stiles  Selma Blair,Romantic Comedy,9582,https://image.tmdb.org/t/p/w500//lpv86hQftikE2ecb1OPYFFMr98r.jpg,5.947,101min,https://www.imdb.com/title/tt0295289,romantic comedy chris koch jason lee julia stile selma blair
90,the haunted mansion,Rob Minkoff,Eddie Murphy,Family  Fantasy,10756,https://image.tmdb.org/t/p/w500//lGi5yio4pdDz5PkSeZCbnMQz5vK.jpg,5.621,88min,https://www.imdb.com/title/tt0338094,family fantasy rob minkoff eddie murphy
91,head of state,Chris Rock,Chris Rock  Bernie Mac  Tracy Morgan,Comedy,9776,https://image.tmdb.org/t/p/w500//oh0FLmUdfSjLpPOD3siKh3NGbOG.jpg,5.504,95min,https://www.imdb.com/title/tt0325537,comedy chris rock chris rock bernie mac tracy morgan
92,hey dj,3 directors,Charlotte Lewis  Tina Wiseman  Terry Camilleri,Comedy,32840,https://image.tmdb.org/t/p/w500//ngzcAn3CxL2pHD1lBBHoCwtACv9.jpg,4.4,86min,https://www.imdb.com/title/tt0322621,comedy 3 director charlotte lewis tina wiseman terry camilleri
